time,open,high,low,close,tick_volume,spread,real_volume
2024-12-30,2624.08,2628.111,2596.07,2606.677,141329,159,0
2024-12-31,2606.717,2627.541,2602.591,2624.381,122278,159,0
2025-01-01,2625.179,2625.839,2621.668,2623.766,3104,159,0
2025-01-02,2623.798,2660.463,2622.754,2658.327,161278,159,0
2025-01-03,2658.328,2665.253,2636.623,2640.37,133478,159,0
2025-01-05,2639.644,2642.398,2639.644,2641.063,3236,160,0
2025-01-06,2641.098,2649.515,2614.419,2634.676,194793,159,0
2025-01-07,2634.625,2664.264,2632.918,2649.807,170823,159,0
2025-01-08,2649.817,2670.053,2645.202,2662.507,162497,159,0
2025-01-09,2662.526,2678.333,2655.437,2669.951,135964,159,0
2025-01-10,2669.958,2698.026,2663.994,2689.589,273893,159,0
2025-01-12,2689.769,2691.373,2687.578,2691.105,5107,159,0
2025-01-13,2691.128,2693.368,2656.768,2668.058,263602,159,0
2025-01-14,2667.976,2678.277,2659.802,2675.589,201655,159,0
2025-01-15,2675.58,2697.97,2669.391,2694.963,219196,159,0
2025-01-16,2694.98,2724.74,2689.907,2714.578,239926,159,0
2025-01-17,2714.624,2717.346,2699.242,2702.879,165131,159,0
2025-01-19,2702.629,2703.084,2691.53,2696.424,4805,160,0
2025-01-20,2696.424,2713.766,2689.355,2710.445,143542,159,0
2025-01-21,2710.433,2745.963,2702.797,2744.259,169686,159,0
2025-01-22,2744.309,2763.457,2742.713,2755.583,221043,159,0
2025-01-23,2755.563,2758.966,2735.77,2754.543,234977,159,0
2025-01-24,2754.546,2786.013,2754.329,2771.079,222071,159,0
2025-01-26,2765.65,2769.721,2765.185,2767.553,8225,159,0
2025-01-27,2767.554,2772.541,2730.452,2741.71,279620,159,0
2025-01-28,2741.743,2765.069,2734.762,2762.704,205237,159,0
2025-01-29,2762.701,2766.271,2744.744,2760.307,226740,159,0
2025-01-30,2760.243,2798.505,2758.633,2796.146,234513,159,0
2025-01-31,2796.183,2817.244,2791.025,2799.348,293534,159,0
2025-02-02,2801.018,2804.653,2784.271,2793.709,36924,159,0
2025-02-03,2793.726,2830.586,2772.152,2814.023,393132,159,0
2025-02-04,2813.985,2845.504,2807.2,2841.206,312962,159,0
2025-02-05,2841.26,2882.425,2839.691,2869.279,291059,159,0
2025-02-06,2869.272,2873.327,2834.055,2858.0,290629,159,0
2025-02-07,2857.994,2886.751,2852.442,2861.006,274030,159,0
2025-02-09,2861.269,2870.59,2860.136,2867.495,7916,159,0
2025-02-10,2867.539,2921.675,2865.83,2917.847,259221,159,0
2025-02-11,2917.894,2942.682,2881.751,2898.536,361092,159,0
2025-02-12,2898.562,2909.267,2864.146,2905.781,269383,159,0
2025-02-13,2905.756,2932.484,2901.437,2931.217,227983,159,0
2025-02-14,2931.192,2940.005,2876.991,2882.772,290194,159,0
2025-02-16,2893.643,2894.034,2878.43,2879.221,16152,159,0
2025-02-17,2879.254,2906.455,2879.254,2899.373,177663,159,0
2025-02-18,2899.325,2936.994,2892.003,2934.061,170586,159,0
